CompoundType (class=java.lang.String)
c_methionine = Compound
2934780 = Minor+Metabolite
2934783 = Metabolite
c_taurocholenate+sulfate = Compound
2934781 = Metabolite
2934782 = Enzyme
2934787 = Metabolite
2934788 = Metabolite
2934785 = Metabolite
2934786 = Enzyme
c_4-hydroxychlorothalonil = Compound
p_Leucine%2C+Isoleucine+and+Valine+Metabolism = Sub+Pathway
2934789 = Minor+Metabolite
c_1-dihomo-linoleoylglycerol+%2820%3A2%29 = Compound
c_palmitoyl+dihydrosphingomyelin+%28d18%3A0%2F16%3A0%29* = Compound
p_Gamma-glutamyl+Amino+Acid = Sub+Pathway
c_malonate = Compound
2784725 = FinalPathway
2784722 = FinalPathway
c_1-docosahexaenoyl-GPC+%2822%3A6%29* = Compound
c_thiosulfate = Compound
p_Drug+-+Cardiovascular = Sub+Pathway
2784716 = FinalPathway
2784713 = FinalPathway
c_Unknown+-+23369 = Compound
2784711 = Label
2951249 = Enzyme
2951246 = Minor+Metabolite
2952578 = Minor+Metabolite
2951245 = Minor+Metabolite
2952579 = Enzyme
c_Unknown+-+11381 = Compound
2952576 = Metabolite
2951247 = Minor+Metabolite
2952577 = Minor+Metabolite
2951242 = Metabolite
2952574 = Enzyme
2951241 = Enzyme
2951244 = Minor+Metabolite
2951243 = Cofactor
2952570 = Minor+Metabolite
2952571 = Enzyme
2951240 = Minor+Metabolite
c_Unknown+-+24699 = Compound
c_N6-carbamoylthreonyladenosine = Compound
2784708 = Enzyme
2784706 = Minor+Metabolite
2784704 = Minor+Metabolite
2784703 = Enzyme
c_hexadecenedioate+%28C16%3A1-DC%29* = Compound
2784702 = Minor+Metabolite
2784701 = Minor+Metabolite
2951239 = Minor+Metabolite
c_pristanate = Compound
c_16-hydroxypalmitate = Compound
2951238 = Metabolite
2951235 = Metabolite
2952567 = Minor+Metabolite
2953898 = Metabolite
2951234 = Minor+Metabolite
2953899 = Enzyme
2951237 = Metabolite
2952565 = Cofactor
2953896 = Minor+Metabolite
2951236 = Enzyme
2952566 = Minor+Metabolite
2953897 = Minor+Metabolite
2952563 = Minor+Metabolite
2951230 = Minor+Metabolite
2952564 = Minor+Metabolite
2953895 = Minor+Metabolite
2951233 = Metabolite
2953892 = Minor+Metabolite
2951232 = Enzyme
2952562 = Enzyme
2953893 = Enzyme
2952560 = Minor+Metabolite
c_glucuronide+of+piperine+metabolite+C17H21NO3+%283%29* = Compound
c_palmitoleoylcarnitine+%28C16%3A1%29* = Compound
2951268 = Minor+Metabolite
2952598 = Minor+Metabolite
2951269 = Enzyme
2952599 = Enzyme
2951264 = Enzyme
2952596 = Minor+Metabolite
2952597 = Cofactor
2951266 = Minor+Metabolite
2951260 = Minor+Metabolite
2952592 = Cofactor
2952593 = Minor+Metabolite
2951262 = Minor+Metabolite
2952590 = Enzyme
2951261 = Minor+Metabolite
2952591 = Minor+Metabolite
c_1-palmityl-2-linoleoyl-GPC+%28O-16%3A0%2F18%3A2%29* = Compound
c_Unknown+-+11372 = Compound
c_Unknown+-+11378 = Compound
2951257 = Minor+Metabolite
2952589 = Metabolite
2951256 = Cofactor
2951259 = Metabolite
2952587 = Minor+Metabolite
2951258 = Enzyme
2951253 = Minor+Metabolite
2952585 = Minor+Metabolite
2952586 = Minor+Metabolite
2951255 = Minor+Metabolite
2951254 = Minor+Metabolite
2952584 = Enzyme
c_Unknown+-+24686 = Compound
2952582 = Minor+Metabolite
2951250 = Minor+Metabolite
2952580 = Minor+Metabolite
2934710 = Enzyme
2951289 = Enzyme
2951288 = Metabolite
2934713 = Enzyme
2951282 = Enzyme
c_1-margaroyl-2-docosahexaenoyl-GPC+%2817%3A0%2F22%3A6%29* = Compound
2934719 = Enzyme
2934716 = Enzyme
2951284 = Cofactor
2951283 = Cofactor
c_Unknown+-+12680 = Compound
c_cholate = Compound
p_Fatty+Acid%2C+Keto = Sub+Pathway
2951279 = Enzyme
2934700 = Metabolite
2787001 = Label
2951278 = Metabolite
2787003 = FinalPathway
2934704 = Enzyme
2951274 = Enzyme
2934701 = Enzyme
2787006 = FinalPathway
2951277 = Metabolite
2951276 = Metabolite
2934707 = Enzyme
2951271 = Minor+Metabolite
2787009 = FinalPathway
2934705 = Metabolite
2951273 = Minor+Metabolite
c_propionylglycine = Compound
p_Partially+Characterized+Molecules = Sub+Pathway
2934732 = Label
2934733 = Enzyme
2787012 = FinalPathway
2787014 = Unknown
2934736 = Metabolite
2787015 = Minor+Metabolite
2934737 = Minor+Metabolite
2787016 = Metabolite
2934734 = Minor+Metabolite
2787017 = Metabolite
2934735 = Minor+Metabolite
2787018 = Enzyme
2787019 = Metabolite
2934738 = Minor+Metabolite
p_Fatty+Acid+Metabolism%28Acyl+Glycine%29 = Sub+Pathway
2934739 = Metabolite
c_N-acetylmethionine = Compound
c_Unknown+-+23314 = Compound
c_5alpha-pregnan-diol+disulfate = Compound
2787020 = Minor+Metabolite
2787021 = Minor+Metabolite
2787022 = Metabolite
2934722 = Enzyme
2787023 = Enzyme
2787024 = Minor+Metabolite
2787025 = Minor+Metabolite
2787026 = Metabolite
2934726 = Enzyme
2951296 = Enzyme
2787028 = Unknown
2951299 = Minor+Metabolite
2934724 = Metabolite
2787029 = Metabolite
2951298 = Minor+Metabolite
2934729 = Enzyme
2951293 = Metabolite
2951292 = Metabolite
2951295 = Cofactor
2951294 = Minor+Metabolite
c_imidazole+lactate = Compound
2951291 = Minor+Metabolite
2951290 = Minor+Metabolite
2952619 = Minor+Metabolite
2953949 = Enzyme
c_glycolithocholate+sulfate* = Compound
2952615 = Minor+Metabolite
2953946 = Minor+Metabolite
2952616 = Cofactor
2953947 = Minor+Metabolite
2952613 = Enzyme
2953944 = Enzyme
2952614 = Minor+Metabolite
2952611 = Minor+Metabolite
c_p-cresol-glucuronide* = Compound
2953943 = Metabolite
2953940 = Minor+Metabolite
2952610 = Minor+Metabolite
2953941 = Minor+Metabolite
2952608 = Enzyme
2953939 = Enzyme
2952606 = Metabolite
2953937 = Minor+Metabolite
2952604 = Minor+Metabolite
2952605 = Enzyme
2953936 = Minor+Metabolite
c_Unknown+-+24747 = Compound
2952603 = Minor+Metabolite
2953934 = Enzyme
2952600 = Minor+Metabolite
2953931 = Enzyme
c_N-acetylphenylalanine = Compound
c_Unknown+-+11438 = Compound
2937000 = Minor+Metabolite
2937001 = Enzyme
2937002 = Minor+Metabolite
2951309 = Minor+Metabolite
2951308 = Minor+Metabolite
c_Unknown+-+12730 = Compound
2937007 = Metabolite
2951305 = Minor+Metabolite
2953968 = Label
c_lactosyl-N-behenoyl-sphingosine+%28d18%3A1%2F22%3A0%29* = Compound
2937008 = Enzyme
2951304 = Cofactor
2952638 = Enzyme
2953969 = Label
2937009 = Cofactor
2951307 = Enzyme
2952635 = Cofactor
2953966 = Label
2952636 = Minor+Metabolite
2953967 = Label
2951301 = Enzyme
2953964 = Label
2937004 = Minor+Metabolite
2952634 = Minor+Metabolite
2953965 = Label
2937005 = Minor+Metabolite
2952631 = Minor+Metabolite
2953962 = Label
2937006 = Minor+Metabolite
2951302 = Minor+Metabolite
2952632 = Enzyme
2953963 = Label
2953960 = Minor+Metabolite
2953961 = Label
c_Unknown+-+12739 = Compound
c_Unknown+-+12740 = Compound
2953959 = Minor+Metabolite
2952629 = Minor+Metabolite
2952626 = Enzyme
2952627 = Minor+Metabolite
2953958 = Minor+Metabolite
2952624 = Metabolite
2953955 = Enzyme
2952625 = Minor+Metabolite
2952622 = Minor+Metabolite
2952620 = Enzyme
2952621 = Minor+Metabolite
2953952 = Enzyme
2937021 = Enzyme
2937023 = Minor+Metabolite
2937024 = Metabolite
2937020 = Metabolite
2937029 = Enzyme
2951327 = Minor+Metabolite
2952659 = Enzyme
2951326 = Metabolite
2951329 = Metabolite
2953988 = Label
2951328 = Enzyme
2953989 = Label
2937025 = Enzyme
2951323 = Enzyme
2952655 = Minor+Metabolite
2953986 = Label
2951322 = Metabolite
2952656 = Minor+Metabolite
2953987 = Label
2937027 = Metabolite
2951325 = Minor+Metabolite
2952653 = Enzyme
2953984 = Label
2937028 = Minor+Metabolite
2952654 = Minor+Metabolite
2953985 = Label
2952651 = Metabolite
2953982 = Label
2953983 = Label
2953980 = Label
c_theobromine = Compound
2951320 = Unknown
2952650 = Cofactor
2953981 = Label
2949003 = Minor+Metabolite
2949002 = Enzyme
2949001 = Metabolite
2949000 = Cofactor
2949007 = Enzyme
2949006 = Minor+Metabolite
2949005 = Class
2949004 = Class
c_Unknown+-+12714 = Compound
2949008 = Metabolite
2937010 = Metabolite
2937012 = Enzyme
2937013 = Minor+Metabolite
2937018 = Enzyme
2951316 = Enzyme
2952648 = Minor+Metabolite
2953979 = Class
2952649 = Minor+Metabolite
2953977 = Label
c_dopamine+4-sulfate = Compound
2952647 = Enzyme
2953978 = Class
2937014 = Metabolite
2951312 = Cofactor
2952644 = Enzyme
2953975 = Label
2937015 = Minor+Metabolite
2951311 = Minor+Metabolite
2953976 = Class
2937016 = Minor+Metabolite
2951314 = Minor+Metabolite
2952642 = Minor+Metabolite
2953973 = Label
2937017 = Metabolite
2952643 = Minor+Metabolite
2953974 = Label
2952640 = Minor+Metabolite
2953971 = Label
c_Unknown+-+12729 = Compound
2953972 = Label
2951310 = Minor+Metabolite
c_15-methylpalmitate+%28i17%3A0%29 = Compound
2953970 = Label
c_Unknown+-+12726 = Compound
2937045 = Metabolite
2937046 = Minor+Metabolite
2937041 = Minor+Metabolite
2937042 = Enzyme
2950018 = Enzyme
2951349 = Minor+Metabolite
2950017 = Class
c_trimethylamine+N-oxide = Compound
2950019 = Minor+Metabolite
2937047 = Minor+Metabolite
2951345 = Metabolite
2937048 = Cofactor
2950013 = Enzyme
2951344 = Cofactor
2937049 = Enzyme
2950016 = Minor+Metabolite
2950015 = Minor+Metabolite
2951346 = Enzyme
2952676 = Enzyme
2949021 = Minor+Metabolite
2950010 = Metabolite
2952673 = Enzyme
2949020 = Metabolite
2952674 = Metabolite
2950012 = Minor+Metabolite
2950011 = Minor+Metabolite
2951342 = Enzyme
2952672 = Minor+Metabolite
2949025 = Enzyme
2949024 = Minor+Metabolite
2952670 = Minor+Metabolite
2949023 = Minor+Metabolite
2949022 = Minor+Metabolite
2949029 = Minor+Metabolite
c_Unknown+-+24272+-+retired+for+3-hydroxyhippurate+sulfate = Compound
2949028 = Minor+Metabolite
2949027 = Metabolite
2937032 = Minor+Metabolite
2937033 = Minor+Metabolite
2937034 = Metabolite
2937035 = Minor+Metabolite
c_phenylalanylleucine = Compound
2937030 = Minor+Metabolite
2950007 = Metabolite
2951338 = Metabolite
2950006 = Metabolite
2951337 = Enzyme
2952668 = Enzyme
2953999 = Class
2950008 = Enzyme
2951339 = Metabolite
2937036 = Enzyme
2950003 = Minor+Metabolite
2951334 = Minor+Metabolite
2952666 = Minor+Metabolite
2953997 = Label
2950002 = Metabolite
2951333 = Cofactor
2952667 = Metabolite
2953998 = Label
2937038 = Cofactor
2950005 = Enzyme
2951336 = Metabolite
2952664 = Minor+Metabolite
2953995 = Label
2937039 = Minor+Metabolite
2950004 = Minor+Metabolite
2951335 = Minor+Metabolite
2952665 = Metabolite
2953996 = Cofactor
2949010 = Minor+Metabolite
2951330 = Metabolite
2952662 = Enzyme
2953993 = Label
2952663 = Minor+Metabolite
2953994 = Label
2951332 = Metabolite
2953991 = Label
2950000 = Minor+Metabolite
2951331 = Enzyme
2953992 = Label
2949014 = Minor+Metabolite
2949013 = Cofactor
2953990 = Label
2949012 = Enzyme
2949011 = Minor+Metabolite
2949018 = Enzyme
2949016 = Minor+Metabolite
2949015 = Metabolite
2949019 = Metabolite
c_1-myristoylglycerol+%2814%3A0%29 = Compound
2752300 = Label
2782199 = Enzyme
2782197 = Minor+Metabolite
2782195 = Minor+Metabolite
2782196 = Minor+Metabolite
2782193 = Enzyme
2782194 = Metabolite
2782191 = Minor+Metabolite
2782192 = Minor+Metabolite
2782190 = Minor+Metabolite
c_3beta-hydroxy-5-cholestenoate = Compound
2782188 = Metabolite
2782189 = Metabolite
p_Fatty+Acid+Metabolism%28Acyl+Carnitine%29 = Sub+Pathway
2782186 = Minor+Metabolite
2782187 = Enzyme
2782184 = Minor+Metabolite
2782185 = Minor+Metabolite
2782182 = Metabolite
2782183 = Minor+Metabolite
2782180 = Minor+Metabolite
2782181 = Metabolite
c_glycosyl+ceramide+%28d18%3A2%2F24%3A1%2C+d18%3A1%2F24%3A2%29* = Compound
c_creatinine = Compound
c_3-phenylpropionate+%28hydrocinnamate%29 = Compound
c_Unknown+-+18899 = Compound
2953908 = Enzyme
2953906 = Metabolite
p_Glycine%2C+Serine+and+Threonine+Metabolism = Sub+Pathway
2953904 = Minor+Metabolite
2953905 = Enzyme
2953903 = Minor+Metabolite
2782179 = Enzyme
2953900 = Cofactor
2782177 = Metabolite
2782178 = Minor+Metabolite
c_2-hydroxyglutarate = Compound
2782175 = Minor+Metabolite
2782176 = Minor+Metabolite
c_heneicosapentaenoate+%2821%3A5n3%29 = Compound
2782173 = Enzyme
2782174 = Metabolite
2782171 = Metabolite
c_oleoyl+ethanolamide = Compound
2782170 = Enzyme
c_N-palmitoylserine = Compound
c_1-stearoyl-2-adrenoyl-GPC+%2818%3A0%2F22%3A4%29* = Compound
c_3-hydroxyoleate* = Compound
2782168 = Minor+Metabolite
2782169 = Minor+Metabolite
2782166 = Metabolite
2782167 = Metabolite
2782164 = Enzyme
2782165 = Minor+Metabolite
2782160 = Metabolite
2782161 = Unknown
c_epiandrosterone+sulfate = Compound
2953928 = Enzyme
2953926 = Cofactor
2953924 = Minor+Metabolite
2953922 = Minor+Metabolite
2782158 = Enzyme
2953923 = Minor+Metabolite
2782155 = Unknown
2953920 = Enzyme
2782156 = Metabolite
2953921 = Minor+Metabolite
2782153 = Metabolite
2782154 = Metabolite
2782152 = Unknown
2782150 = Metabolite
c_1-myristoyl-2-palmitoyl-GPC+%2814%3A0%2F16%3A0%29 = Compound
c_1%2C2%2C3-benzenetriol+sulfate+%282%29 = Compound
c_Unknown+-+18888 = Compound
2953919 = Minor+Metabolite
2953917 = Minor+Metabolite
c_Unknown+-+18886 = Compound
c_Unknown+-+18887 = Compound
2953916 = Minor+Metabolite
2782149 = Enzyme
2953914 = Enzyme
2782146 = Enzyme
2953911 = Minor+Metabolite
2953912 = Minor+Metabolite
2782144 = Minor+Metabolite
2782145 = Minor+Metabolite
2953910 = Minor+Metabolite
2782143 = Minor+Metabolite
c_1-margaroyl-2-arachidonoyl-GPC+%2817%3A0%2F20%3A4%29* = Compound
2782140 = Enzyme
2782141 = Metabolite
c_palmitoyl-arachidonoyl-glycerol+%2816%3A0%2F20%3A4%29+%5B1%5D* = Compound
2807400 = Enzyme
2807406 = Minor+Metabolite
2807405 = Metabolite
2807408 = Enzyme
2807407 = Minor+Metabolite
2807402 = Minor+Metabolite
c_glycoursodeoxycholate = Compound
2807401 = Cofactor
c_3-hydroxyoctanoate = Compound
2807404 = Minor+Metabolite
2786861 = Minor+Metabolite
2952299 = Minor+Metabolite
2786862 = Enzyme
2935725 = FinalPathway
2952297 = Metabolite
2952298 = Minor+Metabolite
c_choline = Compound
2786865 = Enzyme
2952295 = Enzyme
2807409 = Minor+Metabolite
2786866 = Minor+Metabolite
c_glutarylcarnitine+%28C5-DC%29 = Compound
2952293 = Minor+Metabolite
2935728 = FinalPathway
2786868 = Minor+Metabolite
2952294 = Minor+Metabolite
2786869 = Metabolite
2952290 = Minor+Metabolite
2807411 = Minor+Metabolite
2807416 = Minor+Metabolite
2807419 = Minor+Metabolite
2807418 = Enzyme
2807413 = Minor+Metabolite
c_eicosanodioate+%28C20-DC%29 = Compound
2935711 = Minor+Metabolite
2807412 = Minor+Metabolite
2935710 = Minor+Metabolite
2786870 = Cofactor
2807414 = Minor+Metabolite
2786871 = Minor+Metabolite
c_10-nonadecenoate+%2819%3A1n9%29 = Compound
2786872 = Minor+Metabolite
2952288 = Minor+Metabolite
2786873 = Enzyme
2952289 = Minor+Metabolite
2935714 = Label
2952286 = Minor+Metabolite
2952287 = Enzyme
c_1-linoleoyl-GPG+%2818%3A2%29* = Compound
2786876 = Enzyme
2952284 = Minor+Metabolite
2935719 = FinalPathway
2952285 = Minor+Metabolite
2952282 = Minor+Metabolite
2935717 = FinalPathway
2786879 = Enzyme
2952280 = Enzyme
2952281 = Metabolite
2935741 = Metabolite
2935740 = Minor+Metabolite
2935745 = Minor+Metabolite
2935744 = Minor+Metabolite
2935743 = Metabolite
2786881 = Minor+Metabolite
2935742 = Minor+Metabolite
2786882 = Minor+Metabolite
2935749 = Metabolite
2935748 = Minor+Metabolite
2786884 = Enzyme
2935747 = Minor+Metabolite
2935746 = Enzyme
2786886 = Minor+Metabolite
2786888 = Enzyme
p_Secondary+Bile+Acid+Metabolism = Sub+Pathway
c_1-palmityl-2-oleoyl-GPC+%28O-16%3A0%2F18%3A1%29* = Compound
c_5alpha-androstan-3alpha%2C17beta-diol+monosulfate+%281%29 = Compound
2786891 = Minor+Metabolite
2786892 = Enzyme
2786893 = Minor+Metabolite
2935738 = Metabolite
2935737 = Metabolite
2935736 = Unknown
2786896 = Enzyme
2935735 = FinalPathway
2786899 = Enzyme
2935739 = Enzyme
c_ceramide+%28d18%3A1%2F20%3A0%2C+d16%3A1%2F22%3A0%2C+d20%3A1%2F18%3A0%29* = Compound
2807442 = Minor+Metabolite
c_5alpha-androstan-3alpha%2C17beta-diol+monosulfate+%282%29 = Compound
2807443 = Minor+Metabolite
2807440 = Enzyme
2935763 = Metabolite
2935762 = Enzyme
2935761 = Metabolite
2935760 = Metabolite
2935767 = Minor+Metabolite
2807445 = Label
2935766 = Minor+Metabolite
2935765 = Cofactor
2807447 = Class
2935764 = Minor+Metabolite
2935769 = Enzyme
2935768 = Metabolite
c_saccharin = Compound
c_5alpha-androstan-3beta%2C17beta-diol+disulfate = Compound
2807453 = FinalPathway
2807451 = Class
c_1-%281-enyl-palmitoyl%29-2-oleoyl-GPE+%28P-16%3A0%2F18%3A1%29* = Compound
2935752 = Metabolite
2935751 = Minor+Metabolite
2935750 = Minor+Metabolite
2935756 = Minor+Metabolite
2807456 = FinalPathway
2935755 = Metabolite
c_1-%281-enyl-palmitoyl%29-2-linoleoyl-GPC+%28P-16%3A0%2F18%3A2%29* = Compound
2935754 = Minor+Metabolite
2935753 = Enzyme
c_Unknown+-+23295 = Compound
c_Unknown+-+23296 = Compound
2935759 = Unknown
c_Unknown+-+23297 = Compound
2935758 = Cofactor
2935757 = Metabolite
c_Unknown+-+23293 = Compound
c_Unknown+-+23294 = Compound
2807422 = Minor+Metabolite
2935781 = Minor+Metabolite
2934450 = Minor+Metabolite
2935780 = Minor+Metabolite
2934453 = Enzyme
2807428 = Metabolite
2935785 = Metabolite
2934454 = Metabolite
2935784 = Metabolite
2934451 = Minor+Metabolite
2935783 = Minor+Metabolite
2934452 = Minor+Metabolite
2807429 = Minor+Metabolite
2935782 = Enzyme
2934457 = Cofactor
2807424 = Minor+Metabolite
2935789 = Enzyme
2934458 = Metabolite
2807423 = Enzyme
2935788 = Minor+Metabolite
2934455 = Minor+Metabolite
2807426 = Minor+Metabolite
2935787 = Minor+Metabolite
2934456 = Minor+Metabolite
2807425 = Minor+Metabolite
2935786 = Minor+Metabolite
2934459 = Enzyme
2807430 = Enzyme
2807433 = Minor+Metabolite
c_Unknown+-+11299 = Compound
2935770 = Metabolite
c_sphingomyelin+%28d18%3A2%2F24%3A2%29* = Compound
2935774 = Minor+Metabolite
2935773 = Cofactor
2935772 = Cofactor
2935771 = Minor+Metabolite
2934446 = Minor+Metabolite
2807435 = Enzyme
2935778 = Metabolite
2934447 = Metabolite
2935777 = Metabolite
2934444 = Enzyme
2807437 = Minor+Metabolite
2935776 = Enzyme
2934445 = Metabolite
2807436 = Minor+Metabolite
2935775 = Metabolite
2934448 = Metabolite
c_Unknown+-+23276 = Compound
2934449 = Cofactor
2935779 = Minor+Metabolite
c_decanoylcarnitine+%28C10%29 = Compound
c_Unknown+-+11261 = Compound
c_1-%281-enyl-palmitoyl%29-2-myristoyl-GPC+%28P-16%3A0%2F14%3A0%29* = Compound
2826560 = Cofactor
2826561 = Minor+Metabolite
2826562 = Enzyme
2826563 = Minor+Metabolite
2952219 = Cofactor
2826564 = Cofactor
2953548 = Minor+Metabolite
2826566 = Metabolite
2952218 = Minor+Metabolite
2953549 = Minor+Metabolite
2826567 = Enzyme
2952215 = Metabolite
2826568 = Metabolite
2952216 = Enzyme
2953547 = Enzyme
2826569 = Cofactor
2952213 = Metabolite
2953544 = Enzyme
c_Unknown+-+24571 = Compound
2952211 = Metabolite
2952212 = Unknown
2953543 = Cofactor
2953540 = Minor+Metabolite
p_Aminosugar+Metabolism = Sub+Pathway
2952210 = Metabolite
2953541 = Cofactor
c_3%2C4-methyleneheptanoate = Compound
2826550 = Minor+Metabolite
2826551 = Enzyme
2826552 = Metabolite
2953539 = Cofactor
2826553 = Minor+Metabolite
2952209 = Enzyme
2826554 = Minor+Metabolite
2953537 = Enzyme
2826555 = Metabolite
2952207 = Minor+Metabolite
2826556 = Enzyme
2952204 = Minor+Metabolite
2826557 = Metabolite
2952205 = Unknown
2826558 = Metabolite
2953533 = Minor+Metabolite
2826559 = Metabolite
2952203 = Minor+Metabolite
2953534 = Metabolite
2952200 = Enzyme
2953531 = Cofactor
2953532 = Minor+Metabolite
c_Unknown+-+24585 = Compound
2953530 = Minor+Metabolite
c_Unknown+-+24588 = Compound
p_Androgenic+Steroids = Sub+Pathway
2826540 = Metabolite
2826541 = Metabolite
2826542 = Minor+Metabolite
2826543 = Enzyme
2952239 = Metabolite
2826544 = Metabolite
c_5alpha-pregnan-3beta%2C20alpha-diol+disulfate = Compound
2826545 = Minor+Metabolite
2952237 = Minor+Metabolite
2953568 = Minor+Metabolite
2952238 = Minor+Metabolite
2826547 = Metabolite
2953566 = Cofactor
2826548 = Minor+Metabolite
2952236 = Enzyme
2953567 = Minor+Metabolite
2826549 = Cofactor
2952233 = Minor+Metabolite
2953564 = Enzyme
2952234 = Minor+Metabolite
2952232 = Minor+Metabolite
2953563 = Cofactor
2953560 = Enzyme
2952230 = Enzyme
c_Unknown+-+24556 = Compound
2952228 = Minor+Metabolite
2952229 = Minor+Metabolite
2952226 = Minor+Metabolite
2953557 = Enzyme
2826535 = Enzyme
2952227 = Minor+Metabolite
2953558 = Metabolite
2826536 = Metabolite
2953555 = Metabolite
2826537 = Minor+Metabolite
2952225 = Minor+Metabolite
2826538 = Minor+Metabolite
2952222 = Enzyme
2953553 = Enzyme
2826539 = Cofactor
2952223 = Metabolite
2953554 = Metabolite
2952220 = Minor+Metabolite
c_Unknown+-+24565 = Compound
2953550 = Minor+Metabolite
c_quinate = Compound
2952259 = Enzyme
2953588 = Metabolite
2952255 = Enzyme
2953586 = Metabolite
2952256 = Minor+Metabolite
2953587 = Metabolite
2952253 = Minor+Metabolite
2953584 = Minor+Metabolite
2952254 = Cofactor
2953585 = Enzyme
2952251 = Metabolite
2953582 = Cofactor
2953583 = Minor+Metabolite
2952250 = Minor+Metabolite
2826590 = Enzyme
2781998 = Minor+Metabolite
2826592 = Minor+Metabolite
2781999 = Minor+Metabolite
2826593 = Minor+Metabolite
2826594 = Minor+Metabolite
2781997 = Enzyme
2826595 = Cofactor
c_Unknown+-+24546 = Compound
2781994 = Minor+Metabolite
c_1-palmitoyl-2-pentadecanoyl-GPC+%2816%3A0%2F15%3A0%29* = Compound
2781995 = Metabolite
2826597 = Metabolite
2781992 = Enzyme
2826598 = Enzyme
c_Unknown+-+24549 = Compound
2781993 = Class
2826599 = Cofactor
2781990 = Minor+Metabolite
2953579 = Enzyme
2781991 = Minor+Metabolite
2952246 = Metabolite
2953577 = Cofactor
2952244 = Metabolite
2953575 = Minor+Metabolite
2952245 = Metabolite
2953576 = Minor+Metabolite
2952242 = Minor+Metabolite
2953573 = Enzyme
2952243 = Enzyme
c_Unknown+-+24542 = Compound
2952240 = Minor+Metabolite
c_Unknown+-+24544 = Compound
c_Unknown+-+24545 = Compound
2953570 = Enzyme
c_carboxyibuprofen+glucuronide* = Compound
2781987 = Enzyme
2826581 = Minor+Metabolite
2826582 = Minor+Metabolite
2781985 = Minor+Metabolite
2826583 = Minor+Metabolite
2826584 = Unknown
2781983 = Enzyme
2826586 = Metabolite
2781981 = Metabolite
2826587 = Unknown
2935701 = Metabolite
2781980 = Minor+Metabolite
2935700 = Enzyme
2952278 = Minor+Metabolite
2935703 = Enzyme
2952276 = Enzyme
2935709 = Enzyme
2952273 = Minor+Metabolite
2952274 = Minor+Metabolite
2935707 = Minor+Metabolite
2952271 = Cofactor
c_Unknown+-+24512 = Compound
2935706 = Cofactor
2952272 = Metabolite
2952270 = Minor+Metabolite
c_Unknown+-+13866 = Compound
p_Drug+-+Other = Sub+Pathway
2781979 = Minor+Metabolite
2826570 = Metabolite
2781977 = Enzyme
2826571 = Metabolite
c_Unknown+-+12544 = Compound
2781974 = Minor+Metabolite
2826572 = Enzyme
c_Unknown+-+12543 = Compound
2781975 = Class
2826573 = Metabolite
2781972 = Enzyme
2826574 = Minor+Metabolite
2781973 = Minor+Metabolite
2826575 = Cofactor
2781970 = Minor+Metabolite
2826576 = Minor+Metabolite
c_Unknown+-+24527 = Compound
2781971 = Metabolite
2826578 = Enzyme
2826579 = Metabolite
c_3-carboxy-4-methyl-5-propyl-2-furanpropanoate+%28CMPF%29 = Compound
2952268 = Enzyme
2953599 = Enzyme
2952269 = Minor+Metabolite
2952266 = Minor+Metabolite
2953597 = Minor+Metabolite
2953598 = Minor+Metabolite
2953595 = Minor+Metabolite
2952265 = Minor+Metabolite
2953596 = Minor+Metabolite
c_1-linoleoyl-2-docosapentaenyol-GPC+%2818%3A2%2F22%3A5n3%29* = Compound
2953593 = Cofactor
2952263 = Enzyme
2953594 = Minor+Metabolite
2952260 = Minor+Metabolite
c_sphingomyelin+%28d18%3A1%2F22%3A2%2C+d18%3A2%2F22%3A1%2C+d16%3A1%2F24%3A2%29* = Compound
2952261 = Metabolite
2953590 = Enzyme
c_9%2C10-DiHOME = Compound
c_1-%281-enyl-stearoyl%29-2-linoleoyl-GPC+%28P-18%3A0%2F18%3A2%29* = Compound
c_Unknown+-+12636 = Compound
c_linoleoyl-linolenoyl-glycerol+%2818%3A2%2F18%3A3%29+%5B2%5D* = Compound
c_Unknown+-+11308 = Compound
c_1-%281-enyl-palmitoyl%29-2-palmitoyl-GPC+%28P-16%3A0%2F16%3A0%29* = Compound
p_Glycerolipid+Metabolism+ = Sub+Pathway
c_Unknown+-+11315 = Compound
c_1-dihomo-linolenylglycerol+%2820%3A3%29 = Compound
c_N-formylanthranilic+acid = Compound
2953609 = Enzyme
c_1-%281-enyl-stearoyl%29-2-docosahexaenoyl-GPE+%28P-18%3A0%2F22%3A6%29* = Compound
c_lactosyl-N-nervonoyl-sphingosine+%28d18%3A1%2F24%3A1%29* = Compound
2953607 = Minor+Metabolite
c_1-linoleoyl-2-linolenoyl-GPC+%2818%3A2%2F18%3A3%29* = Compound
2953606 = Minor+Metabolite
2953604 = Enzyme
2953601 = Minor+Metabolite
2953600 = Minor+Metabolite
c_azelate+%28C9-DC%29 = Compound
c_1-%281-enyl-palmitoyl%29-2-docosahexaenoyl-GPC+%28P-16%3A0%2F22%3A6%29* = Compound
c_oxalate+%28ethanedioate%29 = Compound
c_N-trimethyl+5-aminovalerate = Compound
2953627 = Minor+Metabolite
c_gamma-glutamylvaline = Compound
2953626 = Enzyme
2953622 = Cofactor
2953620 = Enzyme
p_Pyrimidine+Metabolism%2C+Cytidine+containing = Sub+Pathway
p_Carnitine+Metabolism = Sub+Pathway
2953616 = Minor+Metabolite
2953617 = Enzyme
2953614 = Cofactor
2953615 = Minor+Metabolite
2953612 = Cofactor
