CompoundType (class=java.lang.String)
2951383 = Minor+Metabolite
2949066 = Enzyme
2950051 = Metabolite
2951382 = Minor+Metabolite
2937090 = Label
c_serine = Compound
2934819 = Enzyme
2937093 = FinalPathway
c_androsterone+glucuronide = Compound
2937076 = Metabolite
c_orotidine = Compound
2937078 = Enzyme
2937072 = Minor+Metabolite
c_1%2C7-dimethylurate = Compound
c_1-behenoyl-GPC+%2822%3A0%29 = Compound
2937075 = Unknown
2949061 = Minor+Metabolite
2950047 = Cofactor
2951378 = Minor+Metabolite
2949060 = Cofactor
2950046 = Metabolite
2950049 = Unknown
2950043 = Metabolite
2951374 = Minor+Metabolite
2934803 = Minor+Metabolite
2949053 = Enzyme
2950042 = Enzyme
2951373 = Minor+Metabolite
2934800 = Metabolite
2949052 = Cofactor
2950045 = Enzyme
2951376 = Enzyme
2934801 = Enzyme
2951375 = Metabolite
2949058 = Enzyme
2951370 = Metabolite
2934807 = Minor+Metabolite
2949057 = Cofactor
2949056 = Minor+Metabolite
2950041 = Metabolite
2934805 = Enzyme
2949055 = Metabolite
2950040 = Metabolite
2951371 = Enzyme
c_perfluorooctanesulfonic+acid+%28PFOS%29 = Compound
2934808 = Metabolite
2937081 = Minor+Metabolite
2934809 = Enzyme
2937082 = Minor+Metabolite
2949059 = Minor+Metabolite
2949090 = Enzyme
c_sarcosine = Compound
2949094 = Metabolite
2934832 = Minor+Metabolite
2949093 = Minor+Metabolite
2950079 = Enzyme
2949092 = Minor+Metabolite
2949091 = Metabolite
c_Unknown+-+23680 = Compound
2934835 = Minor+Metabolite
2950076 = Minor+Metabolite
2934836 = Minor+Metabolite
2949086 = Unknown
2950075 = Minor+Metabolite
2934833 = Enzyme
2949085 = Minor+Metabolite
2934834 = Cofactor
2949084 = Minor+Metabolite
2934839 = Minor+Metabolite
2950072 = Metabolite
2950071 = Minor+Metabolite
2949089 = Minor+Metabolite
2950074 = Enzyme
2950073 = Metabolite
2950070 = Enzyme
2937099 = FinalPathway
c_3-hydroxyadipate* = Compound
2937096 = Metabolite
2934820 = Metabolite
2949083 = Minor+Metabolite
2950069 = Minor+Metabolite
2934821 = Cofactor
2949082 = Metabolite
2950068 = Minor+Metabolite
2951399 = Minor+Metabolite
2949080 = Enzyme
2934824 = Cofactor
2949076 = Minor+Metabolite
2950065 = Minor+Metabolite
2949075 = Minor+Metabolite
2950064 = Minor+Metabolite
2951395 = Enzyme
2949074 = Minor+Metabolite
2950067 = Minor+Metabolite
2949073 = Enzyme
2934828 = Cofactor
2950061 = Enzyme
2951392 = Minor+Metabolite
2934829 = Minor+Metabolite
2949079 = Metabolite
2951391 = Minor+Metabolite
2934826 = Enzyme
2949078 = Metabolite
2950063 = Cofactor
2951394 = Metabolite
c_oleate%2Fvaccenate+%2818%3A1%29 = Compound
2934827 = Minor+Metabolite
2949077 = Minor+Metabolite
2950062 = Metabolite
2951393 = Minor+Metabolite
2951390 = Cofactor
c_Unknown+-+23666 = Compound
2934853 = Enzyme
2934854 = Minor+Metabolite
2934857 = Metabolite
2950098 = Minor+Metabolite
2934858 = Metabolite
2934855 = Minor+Metabolite
2934856 = Minor+Metabolite
2950099 = Minor+Metabolite
2950094 = Minor+Metabolite
2934859 = Enzyme
2950096 = Minor+Metabolite
c_Unknown+-+23665 = Compound
2950095 = Enzyme
2950090 = Enzyme
c_1-stearoyl-2-meadoyl-GPC+%2818%3A0%2F20%3A3n9%29* = Compound
2950092 = Minor+Metabolite
2950091 = Metabolite
2934843 = FinalPathway
2934840 = Label
c_2-hydroxyhippurate+%28salicylurate%29 = Compound
2934846 = FinalPathway
2949098 = Minor+Metabolite
2950087 = Metabolite
2949097 = Metabolite
2950086 = Metabolite
2949096 = Metabolite
2950089 = Minor+Metabolite
2949095 = Enzyme
2950088 = Minor+Metabolite
2950083 = Minor+Metabolite
2950082 = Minor+Metabolite
2934848 = FinalPathway
2950085 = Enzyme
2949099 = Enzyme
2950084 = Metabolite
c_5-hydroxylysine = Compound
2950081 = Metabolite
2950080 = Minor+Metabolite
2752288 = Minor+Metabolite
2752289 = Enzyme
2951407 = Enzyme
2952738 = Enzyme
2951409 = Minor+Metabolite
2952737 = Metabolite
2951406 = Minor+Metabolite
2952734 = Minor+Metabolite
2788120 = FinalPathway
2951405 = Minor+Metabolite
2952735 = Enzyme
2951400 = Minor+Metabolite
2952732 = Minor+Metabolite
2952733 = Metabolite
2951402 = Minor+Metabolite
2952730 = Enzyme
2951401 = Enzyme
2952731 = Metabolite
c_N-acetylhistidine = Compound
c_Unknown+-+11787 = Compound
2752284 = Minor+Metabolite
2752285 = Metabolite
c_Unknown+-+10458 = Compound
2752287 = Minor+Metabolite
2752280 = Unknown
c_3-indoxyl+sulfate = Compound
2752282 = Metabolite
2752283 = Enzyme
2952727 = Minor+Metabolite
c_Unknown+-+11795 = Compound
c_1-palmitoyl-2-oleoyl-GPI+%2816%3A0%2F18%3A1%29* = Compound
2952725 = Minor+Metabolite
2952726 = Minor+Metabolite
c_phosphatidylcholine+%2818%3A0%2F20%3A5%2C+16%3A0%2F22%3A5n6%29* = Compound
2952723 = Enzyme
2952724 = Cofactor
2952721 = Minor+Metabolite
2952722 = Minor+Metabolite
c_7-alpha-hydroxy-3-oxo-4-cholestenoate+%287-Hoca%29 = Compound
2752295 = Cofactor
2752296 = Minor+Metabolite
2752297 = Minor+Metabolite
2752292 = Minor+Metabolite
2752293 = Enzyme
2752294 = Minor+Metabolite
c_indole-3-carboxylic+acid = Compound
2752266 = Metabolite
2752267 = Minor+Metabolite
2752268 = Cofactor
2752269 = Minor+Metabolite
2951426 = Minor+Metabolite
2951425 = Metabolite
2951428 = Enzyme
2952756 = Minor+Metabolite
2952757 = Minor+Metabolite
2952754 = Minor+Metabolite
2951421 = Minor+Metabolite
2952755 = Minor+Metabolite
2951424 = Minor+Metabolite
2952752 = Minor+Metabolite
2951423 = Enzyme
2952753 = Minor+Metabolite
c_tricosanoyl+sphingomyelin+%28d18%3A1%2F23%3A0%29* = Compound
2952750 = Enzyme
2951420 = Cofactor
2949102 = Enzyme
2949101 = Metabolite
2949100 = Metabolite
2752262 = Minor+Metabolite
2752263 = Cofactor
2949105 = Enzyme
2752264 = Minor+Metabolite
2949104 = Metabolite
2752265 = Enzyme
2949103 = Metabolite
c_1-oleoyl-GPE+%2818%3A1%29 = Compound
2949109 = Minor+Metabolite
2752260 = Metabolite
2949108 = Enzyme
2752261 = Minor+Metabolite
2752277 = Cofactor
2951419 = Minor+Metabolite
2752278 = Metabolite
2951418 = Minor+Metabolite
2752279 = Minor+Metabolite
2952749 = Minor+Metabolite
2952748 = Minor+Metabolite
2952745 = Enzyme
c_5-%28galactosylhydroxy%29-L-lysine = Compound
2951416 = Enzyme
2951411 = Minor+Metabolite
2952743 = Minor+Metabolite
2951410 = Metabolite
2952744 = Metabolite
2951413 = Enzyme
2952741 = Minor+Metabolite
2951412 = Metabolite
2952742 = Metabolite
