CompoundType (class=java.lang.String)
2752295 = Cofactor
2752296 = Minor+Metabolite
2752297 = Minor+Metabolite
2752292 = Minor+Metabolite
2752293 = Enzyme
2752294 = Minor+Metabolite
c_indole-3-carboxylic+acid = Compound
2752266 = Metabolite
2752267 = Minor+Metabolite
2752268 = Cofactor
2752269 = Minor+Metabolite
c_tricosanoyl+sphingomyelin+%28d18%3A1%2F23%3A0%29* = Compound
2752262 = Minor+Metabolite
2752263 = Cofactor
2752264 = Minor+Metabolite
2752265 = Enzyme
c_1-oleoyl-GPE+%2818%3A1%29 = Compound
2752260 = Metabolite
2752261 = Minor+Metabolite
2752277 = Cofactor
2752278 = Metabolite
2752279 = Minor+Metabolite
c_5-%28galactosylhydroxy%29-L-lysine = Compound
c_gamma-glutamylglycine = Compound
2752273 = Minor+Metabolite
2752274 = Minor+Metabolite
2752275 = Metabolite
2752271 = Enzyme
2752272 = Minor+Metabolite
c_umbelliferone+sulfate = Compound
c_1-palmitoyl-2-arachidonoyl-GPE+%2816%3A0%2F20%3A4%29* = Compound
2752259 = Metabolite
2752255 = Minor+Metabolite
2752256 = Metabolite
2752257 = Metabolite
2752258 = Enzyme
c_alpha-ketoglutarate = Compound
c_Unknown+-+23739 = Compound
c_21-hydroxypregnenolone+disulfate = Compound
2752253 = Enzyme
2752254 = Minor+Metabolite
c_O-acetylhomoserine = Compound
c_oleoyl-oleoyl-glycerol+%2818%3A1%2F18%3A1%29+%5B2%5D* = Compound
c_sulfate+of+piperine+metabolite+C18H21NO3+%283%29* = Compound
c_N-acetylglutamate = Compound
p_Fatty+Acid%2C+Monohydroxy = Sub+Pathway
2782098 = Minor+Metabolite
2782099 = Metabolite
2782096 = Minor+Metabolite
2782097 = Cofactor
2782094 = Metabolite
2782095 = Enzyme
2782092 = Minor+Metabolite
c_ferulic+acid+4-sulfate = Compound
2782093 = Minor+Metabolite
2782090 = Minor+Metabolite
2782091 = Minor+Metabolite
2782089 = Metabolite
2782087 = Enzyme
2782088 = Minor+Metabolite
2782085 = Metabolite
2782086 = Metabolite
2782083 = Metabolite
2782084 = Enzyme
2782081 = Enzyme
2782082 = Metabolite
c_salicylate = Compound
2782080 = Minor+Metabolite
c_thioproline = Compound
2782078 = Minor+Metabolite
2782079 = Metabolite
2782076 = Minor+Metabolite
2782077 = Minor+Metabolite
2782074 = Metabolite
2782075 = Minor+Metabolite
2782072 = FinalPathway
2782073 = Enzyme
c_erucate+%2822%3A1n9%29 = Compound
p_Vitamin+A+Metabolism = Sub+Pathway
2782069 = FinalPathway
c_glutarate+%28C5-DC%29 = Compound
c_octadecanedioate+%28C18-DC%29 = Compound
2782066 = FinalPathway
2782063 = Label
2782060 = Minor+Metabolite
2782059 = Enzyme
2782056 = Minor+Metabolite
2782057 = Minor+Metabolite
2782055 = Minor+Metabolite
2782053 = Enzyme
2782050 = Metabolite
2782051 = Minor+Metabolite
2782049 = Enzyme
c_daidzein+sulfate+%282%29 = Compound
2782047 = Minor+Metabolite
c_docosapentaenoylcarnitine+%28C22%3A5n3%29* = Compound
2782048 = Class
2782046 = Minor+Metabolite
2782043 = Minor+Metabolite
2782044 = Enzyme
2782041 = Minor+Metabolite
2782042 = Minor+Metabolite
c_Unknown+-+15245 = Compound
c_Unknown+-+16576 = Compound
p_Polypeptide = Sub+Pathway
2782038 = Enzyme
2782036 = Minor+Metabolite
2782037 = Minor+Metabolite
2784698 = Enzyme
2784697 = Minor+Metabolite
2782035 = Class
2784696 = Minor+Metabolite
2782032 = Minor+Metabolite
2784695 = Minor+Metabolite
c_Unknown+-+16570 = Compound
2782033 = Enzyme
2784694 = Minor+Metabolite
c_1-stearoyl-2-dihomo-linolenoyl-GPE+%2818%3A0%2F20%3A3n3+or+6%29* = Compound
2782030 = Minor+Metabolite
2782031 = Minor+Metabolite
2784692 = Metabolite
2784691 = Enzyme
2784690 = Metabolite
2782029 = Minor+Metabolite
c_Unknown+-+16580 = Compound
c_5-methylthioadenosine+%28MTA%29 = Compound
2784689 = Metabolite
2782025 = Metabolite
2784688 = Unknown
2782026 = Enzyme
2784687 = Minor+Metabolite
2782023 = Minor+Metabolite
2784686 = Minor+Metabolite
2782024 = Minor+Metabolite
2784685 = Minor+Metabolite
2782021 = Enzyme
2784684 = Metabolite
2784682 = Enzyme
2784681 = Minor+Metabolite
2784680 = Minor+Metabolite
2783229 = Minor+Metabolite
2934992 = Minor+Metabolite
2783226 = Minor+Metabolite
2934993 = Cofactor
2783225 = Enzyme
2934990 = Metabolite
2783224 = Minor+Metabolite
2934991 = Minor+Metabolite
2783222 = Minor+Metabolite
2934997 = Minor+Metabolite
2783221 = Minor+Metabolite
2934994 = Metabolite
2934995 = Enzyme
p_Acetylated+Peptides = Sub+Pathway
2934998 = Minor+Metabolite
2934999 = Minor+Metabolite
c_N1-Methyl-2-pyridone-5-carboxamide = Compound
p_Histidine+Metabolism = Sub+Pathway
c_galactonate = Compound
c_isoursodeoxycholate = Compound
2783217 = Enzyme
2934981 = Minor+Metabolite
2783215 = Minor+Metabolite
2934982 = Metabolite
2783214 = Cofactor
2783213 = Minor+Metabolite
2934980 = Minor+Metabolite
2783212 = Minor+Metabolite
c_succinimide = Compound
2934986 = Minor+Metabolite
2783210 = Enzyme
2934984 = Enzyme
2934989 = Enzyme
2934988 = Minor+Metabolite
2783209 = Metabolite
c_8-hydroxyoctanoate = Compound
2783208 = Minor+Metabolite
2783206 = Minor+Metabolite
c_1-dihomo-linolenoyl-GPC+%2820%3A3n3+or+6%29* = Compound
2783205 = Metabolite
2783203 = Minor+Metabolite
2783202 = Enzyme
2783201 = Minor+Metabolite
c_beta-citrylglutamate = Compound
c_N-acetylalanine = Compound
c_glycosyl-N-behenoyl-sphingadienine+%28d18%3A2%2F22%3A0%29* = Compound
c_tryptophan+betaine = Compound
c_palmitoleoyl-linoleoyl-glycerol+%2816%3A1%2F18%3A2%29+%5B1%5D* = Compound
c_caffeine = Compound
c_1-arachidoyl-2-arachidonoyl-GPC+%2820%3A0%2F20%3A4%29* = Compound
c_1-linoleoyl-2-eicosapentaenoyl-GPC+%2818%3A2%2F20%3A5%29* = Compound
c_glycodeoxycholate+sulfate = Compound
c_docosapentaenoate+%28n3+DPA%3B+22%3A5n3%29 = Compound
2934912 = Cofactor
2934910 = Minor+Metabolite
2934911 = Minor+Metabolite
2934916 = Minor+Metabolite
2934917 = Enzyme
2934914 = Metabolite
2934915 = Cofactor
c_4-acetamidobutanoate = Compound
c_1-stearyl-GPC+%28O-18%3A0%29* = Compound
c_4-vinylphenol+sulfate = Compound
2934901 = Minor+Metabolite
2934902 = Metabolite
2934900 = Minor+Metabolite
c_3-hydroxysebacate = Compound
2934905 = Metabolite
2934906 = Metabolite
2934903 = Metabolite
2934904 = Enzyme
2934909 = Enzyme
2934907 = Minor+Metabolite
2934908 = Minor+Metabolite
2934930 = Cofactor
2934931 = Minor+Metabolite
2934934 = Cofactor
2934935 = Minor+Metabolite
2934932 = Minor+Metabolite
c_5alpha-pregnan-3beta%2C20alpha-diol+monosulfate+%282%29 = Compound
2934933 = Metabolite
c_Unknown+-+23585 = Compound
2934938 = Metabolite
2934939 = Cofactor
c_palmitoyl-oleoyl-glycerol+%2816%3A0%2F18%3A1%29+%5B2%5D* = Compound
c_Unknown+-+23587 = Compound
2934936 = Cofactor
c_arachidoylcarnitine+%28C20%29* = Compound
2934937 = Enzyme
p_Fatty+Acid+Metabolism+%28also+BCAA+Metabolism%29 = Sub+Pathway
c_behenate+%2822%3A0%29* = Compound
2934920 = Minor+Metabolite
2934923 = Minor+Metabolite
2934921 = Minor+Metabolite
2934922 = Enzyme
2934927 = Metabolite
2934928 = Enzyme
2934925 = Minor+Metabolite
2934926 = Minor+Metabolite
2934929 = Metabolite
c_Unknown+-+23590 = Compound
2934952 = Enzyme
2934953 = Metabolite
2934950 = Minor+Metabolite
2934951 = Metabolite
2934957 = Enzyme
2934954 = Minor+Metabolite
2934955 = Metabolite
2934958 = Minor+Metabolite
2934959 = Metabolite
c_Unknown+-+11593 = Compound
2934941 = Enzyme
2934942 = Minor+Metabolite
2934940 = Metabolite
2934946 = Enzyme
2934943 = Minor+Metabolite
2934944 = Metabolite
2934949 = Cofactor
2934947 = Minor+Metabolite
c_acesulfame = Compound
c_Unknown+-+11564 = Compound
2934970 = Minor+Metabolite
2934971 = Minor+Metabolite
c_docosapentaenoate+%28n6+DPA%3B+22%3A5n6%29 = Compound
2934974 = Cofactor
2788101 = Enzyme
2934975 = Minor+Metabolite
2934972 = Minor+Metabolite
2788103 = Metabolite
2934973 = Minor+Metabolite
2788102 = Minor+Metabolite
2934978 = Enzyme
2788105 = Minor+Metabolite
2934979 = Minor+Metabolite
2788104 = Minor+Metabolite
c_Unknown+-+24870 = Compound
2788106 = Metabolite
2788109 = Metabolite
c_C-glycosyltryptophan = Compound
2788108 = Enzyme
sp_Nucleotide = Super+Pathway
2934960 = Minor+Metabolite
2788110 = Minor+Metabolite
2934963 = Minor+Metabolite
2788112 = Minor+Metabolite
2934964 = Enzyme
2788111 = Metabolite
2934961 = Minor+Metabolite
2788113 = Minor+Metabolite
2934967 = Minor+Metabolite
2934968 = Minor+Metabolite
2788115 = Label
2934965 = Metabolite
2788118 = Metabolite
2934969 = Enzyme
c_diacylglycerol+%2814%3A0%2F18%3A1%2C+16%3A0%2F16%3A1%29+%5B2%5D* = Compound
c_betaine = Compound
c_Unknown+-+23644 = Compound
c_1-docosahexaenoyl-GPE+%2822%3A6%29* = Compound
c_taurolithocholate+3-sulfate = Compound
c_Unknown+-+24970 = Compound
c_1-oleoyl-2-dihomo-linoleoyl-GPC+%2818%3A1%2F20%3A2%29* = Compound
c_hypoxanthine = Compound
c_Unknown+-+23641 = Compound
c_1-linoleoyl-2-arachidonoyl-GPC+%2818%3A2%2F20%3A4n6%29* = Compound
c_Unknown+-+23659 = Compound
c_aconitate+%5Bcis+or+trans%5D = Compound
c_Unknown+-+24983 = Compound
c_Unknown+-+23652 = Compound
c_Unknown+-+24953 = Compound
c_Unknown+-+24951 = Compound
c_Unknown+-+24952 = Compound
c_glycerophosphorylcholine+%28GPC%29 = Compound
c_Unknown+-+23636 = Compound
c_Unknown+-+23637 = Compound
c_Unknown+-+23639 = Compound
c_Unknown+-+24932 = Compound
c_chenodeoxycholate = Compound
c_Unknown+-+24947 = Compound
c_Unknown+-+24948 = Compound
c_Unknown+-+24949 = Compound
c_1-palmitoleoyl-2-linolenoyl-GPC+%2816%3A1%2F18%3A3%29* = Compound
c_methionine+sulfoxide = Compound
c_dihomo-linolenoylcarnitine+%28C20%3A3n3+or+6%29* = Compound
c_serylleucine = Compound
c_tartarate = Compound
c_isobutyrylcarnitine+%28C4%29 = Compound
c_pyroglutamine* = Compound
c_1-stearoyl-2-adrenoyl-GPE+%2818%3A0%2F22%3A4%29* = Compound
c_glycine+conjugate+of+C10H12O2* = Compound
2788093 = Minor+Metabolite
2788092 = Enzyme
2788095 = Metabolite
2788094 = Metabolite
2788097 = Minor+Metabolite
2788096 = Enzyme
2788099 = Minor+Metabolite
2788098 = Metabolite
2783298 = FinalPathway
c_Unknown+-+12695++-+retired+for+alpha-keto-glutaramate** = Compound
c_4-hydroxyglutamate = Compound
2783289 = Class
2783288 = Class
c_arabitol%2Fxylitol = Compound
2783285 = FinalPathway
2783283 = FinalPathway
2783282 = Class
c_Unknown+-+17469+-+retired+for+lithocholic+acid+sulfate+%281%29 = Compound
2783279 = FinalPathway
2783277 = Label
2783276 = Metabolite
c_Unknown+-+12906 = Compound
2783273 = Metabolite
2783272 = Enzyme
2783271 = Minor+Metabolite
c_alanine = Compound
2783270 = Metabolite
c_campesterol = Compound
c_N-acetyl-isoputreanine* = Compound
2783269 = Metabolite
c_1-myristoyl-2-linoleoyl-GPC+%2814%3A0%2F18%3A2%29* = Compound
2783268 = Minor+Metabolite
c_bilirubin+%28E%2CZ+or+Z%2CE%29* = Compound
2783265 = Minor+Metabolite
2783264 = Enzyme
c_glycochenodeoxycholate+sulfate = Compound
2783261 = Minor+Metabolite
2783260 = Enzyme
2783259 = Minor+Metabolite
2783258 = Minor+Metabolite
2783257 = Minor+Metabolite
2783256 = Cofactor
2783253 = Enzyme
2783252 = Minor+Metabolite
2783251 = Minor+Metabolite
c_3-%284-hydroxyphenyl%29lactate = Compound
p_Fatty+Acid+Synthesis = Sub+Pathway
p_Sphingolipid+Metabolism = Sub+Pathway
2783246 = Enzyme
2783244 = Minor+Metabolite
2783242 = Minor+Metabolite
2783241 = Minor+Metabolite
2783240 = Enzyme
2783239 = Minor+Metabolite
2783237 = Minor+Metabolite
c_13-HODE+%2B+9-HODE = Compound
2783236 = Minor+Metabolite
2783235 = Metabolite
2783234 = Enzyme
2783233 = Cofactor
2783232 = Minor+Metabolite
2783231 = Minor+Metabolite
2783230 = Minor+Metabolite
c_leucine = Compound
c_1-stearyl-2-linoleoyl-GPC+%28O-18%3A0%2F18%3A2%29* = Compound
c_myristate+%2814%3A0%29 = Compound
2782258 = Metabolite
2935961 = Minor+Metabolite
2935960 = Minor+Metabolite
2782256 = Metabolite
2782257 = Unknown
2782254 = Enzyme
2935965 = Metabolite
2782255 = Metabolite
2934634 = Enzyme
2935964 = Enzyme
2934631 = Enzyme
2782253 = Metabolite
2934632 = Metabolite
2935962 = Minor+Metabolite
2782250 = Metabolite
2782251 = Unknown
2934638 = Minor+Metabolite
2935968 = Metabolite
2934635 = Minor+Metabolite
2935967 = Enzyme
2934636 = Minor+Metabolite
c_N-acetyl-3-methylhistidine* = Compound
c_1-stearoyl-2-oleoyl-GPI+%2818%3A0%2F18%3A1%29* = Compound
2934639 = Minor+Metabolite
c_Unknown+-+17653 = Compound
c_Unknown+-+17654 = Compound
2782249 = Minor+Metabolite
